mastery_id,value,description
1,0,"NY: Not sure what facts apply, cannot remember how to approach any of the problems. I really don’t get it yet"
2,1,1: Demonstrate recall. I do not know how to connect approach to a plan that works for routine
3,2,"2: Demonstrate recall, solve routine problems, and explain approach, plan, execution for routine"
4,3,"3: Demonstrate recall, solve routine, approach and plan for non-routine problems"
5,4,"4: Demonstrate recall, solve routine problems, and solve non-routine problems (levels 1, 2, 3). Teach concept to a peer"
